Student_Type,Sleep_Hours,Study_Hours,Social_Media_Hours,Attendance,Exam_Pressure,Family_Support,Month,Stress_Level
school,6.827451027563534,3.4194645424382464,9.027686540185364,,,5.0,3.0,1
college,7.877140332352694,3.1209344623081945,2.8341696698555796,71.9592786094794,3.0,10.0,7.0,0
college,4.463863315066879,3.4118442159227107,0.6282356501307373,95.07987145121295,6.0,10.0,8.0,0
working_student,4.071199505801476,8.940655519145468,4.047436349395461,63.5653603120127,1.0,5.0,4.0,1
college,5.594070800828978,3.239011902788727,0.985893850713115,78.69612966295415,10.0,3.0,12.0,0
school,9.211800809313152,2.5171393069940327,3.9870226038066754,82.22291243951776,6.0,6.0,12.0,0
school,9.613806255498773,4.225302675032948,2.9349871240438934,88.5156434790348,4.0,4.0,6.0,1
college,6.5952470355012105,3.46360892386288,,64.07020245828929,6.0,6.0,8.0,0
school,6.210145686709316,2.923767974155865,5.198171059769429,72.5060114936581,3.0,4.0,8.0,0
college,6.39018845903754,7.143687610582564,4.024364223047873,98.27044039929737,,4.0,5.0,1
school,,2.4466485618717058,5.234910691026819,67.09935752048075,1.0,5.0,7.0,1
working_student,7.554137026587158,4.192960178939505,1.7556476141961328,82.05340486431605,5.0,6.0,11.0,0
,8.063624228732783,3.787468738756402,0.8824526052908245,,2.0,6.0,6.0,0
working_student,5.300915876974769,2.3940760616259817,4.5967570174341486,89.74286607234299,5.0,1.0,9.0,0
college,9.693853015354719,3.863077915414993,3.5214256337722225,63.990598129486685,,7.0,1.0,1
school,7.7950202283309835,2.2642229601356223,6.183879727277773,90.77859946045979,5.0,7.0,11.0,0
school,5.8795589918459825,2.0248190205466825,4.9354596814907765,68.39391144900368,5.0,5.0,2.0,0
working_student,7.184741194357466,7.039294172877675,5.800200090667029,69.75767447562474,6.0,3.0,6.0,1
college,8.225111893534342,2.502611296022709,1.725674878404111,99.06840423051297,,,3.0,0
school,7.227111056939085,2.9981158172880273,1.2562254857359298,87.36810711936239,7.0,7.0,,0
school,6.6816041673493745,2.992552858387873,2.2555277764784165,98.05758842197461,2.0,6.0,,0
working_student,,4.911525503927787,0.632594790055018,74.83993263491239,3.0,6.0,5.0,0
college,5.676340131596376,3.318657205732118,3.3405040327650237,,7.0,8.0,8.0,0
school,6.457317870462226,2.9773417010212886,2.765660287783585,97.18753457504177,5.0,8.0,1.0,0
college,9.56490912709022,5.356500992719652,5.863992908446444,69.8246700783596,9.0,6.0,6.0,0
college,2.551572809803741,3.3210269507626626,3.7457571202533346,,8.0,7.0,3.0,1
working_student,8.330080348449497,6.004838022002917,4.068445016607715,67.77103700368976,,7.0,12.0,0
working_student,5.729777491070413,8.492616402673908,4.572655692941261,87.57896427169845,8.0,6.0,3.0,1
college,7.037024363770988,5.139091868810857,,97.44695645563817,3.0,7.0,5.0,0
college,6.230648972223254,6.595569744364213,3.8972328736961113,96.57484999384798,9.0,6.0,4.0,1
school,8.441130259144913,2.48468137320594,2.549325777483137,57.766620699187136,9.0,7.0,6.0,1
college,6.605822811882686,7.557171968849248,7.919565362584178,91.26764150496831,8.0,7.0,3.0,0
college,7.164004999283918,8.888058104893332,2.9197692700011832,72.00874705611719,3.0,5.0,3.0,1
working_student,5.301005675144267,5.525100329889728,1.9314288155645887,80.5958754058042,3.0,3.0,8.0,0
college,7.384890307922178,5.744210578199898,2.6416303413102398,80.02476352713539,5.0,4.0,11.0,0
working_student,6.276077146522426,7.274237068849066,3.7402953641983236,71.16712648317642,5.0,10.0,10.0,1
college,,3.0062541502613835,4.248125772464726,95.63466350500703,8.0,3.0,7.0,1
college,6.287182142021791,3.5565667540037507,4.503242853357676,90.48901646414491,6.0,8.0,3.0,0
school,7.430899973297266,4.516737432165055,7.394011028956134,,7.0,4.0,7.0,0
college,7.0818844690833345,2.51263257167291,3.654804510213362,95.4433450554144,8.0,4.0,12.0,1
working_student,4.801839621813761,5.440279069628106,,68.77720032413545,6.0,10.0,9.0,0
working_student,4.9415719627517385,6.836252594840626,5.45182296491817,99.98865659286868,5.0,6.0,10.0,0
school,9.174697968933293,6.364678437721682,3.506571468832169,,6.0,6.0,8.0,0
school,9.20181549427502,2.031843110835082,3.884843061346865,61.39564214758342,5.0,,6.0,0
college,2.215711467853858,2.006463520713359,3.051482417121029,90.03103076951395,,6.0,1.0,1
school,8.553049667326626,5.275650908647146,6.079556526703968,76.32307111692415,6.0,4.0,3.0,0
school,6.2833076915349,1.6721784392101204,5.5436153584208885,78.70216158008137,5.0,,7.0,0
college,6.565621457537916,11.641198234577447,2.8814714379801964,72.57913882061266,6.0,7.0,8.0,1
college,6.539650782659018,3.0447163675434323,1.9122790743325242,99.94776409083795,4.0,4.0,,0
school,7.795144701778546,4.130191797882295,2.615678335262861,99.53389456472095,6.0,4.0,1.0,0
college,6.303894479844202,5.977519203529002,6.967087806465845,99.96878894599642,6.0,9.0,10.0,0
school,6.764606422051987,2.6955827984847214,3.622419769989187,73.13032781573463,6.0,3.0,7.0,0
college,8.205614528586677,4.823366601733629,6.113580164663926,77.57989178939803,8.0,8.0,3.0,1
college,5.368063608804459,,3.2652865411734564,62.79182933756252,,6.0,1.0,0
college,5.519282867124151,3.5644771652309535,7.623988438916305,95.42211349952615,8.0,7.0,11.0,0
college,6.470617652971277,1.2964820092857001,1.2536124254452017,90.93462749812991,8.0,9.0,5.0,1
college,4.504416495492942,3.7905233672239893,5.190542058891734,81.9675000778198,6.0,4.0,9.0,1
college,6.727086313962637,,7.227534417259655,79.5710590445868,2.0,4.0,4.0,0
college,6.717068755007236,2.1903861269574043,4.308423829200442,71.93024104994971,3.0,2.0,,0
college,7.6705155575533865,4.410137764443818,0.8827073111071209,68.8507936196742,7.0,10.0,12.0,1
working_student,6.2594438823019285,2.297305549183664,7.754846968962789,90.21809892338362,1.0,2.0,11.0,0
working_student,5.335190178018444,,3.2756090835267813,71.67133069731771,8.0,1.0,11.0,1
college,8.851990239953219,,2.812183908027822,69.82723055011465,4.0,7.0,3.0,0
college,6.660937542750206,2.9005025090114285,2.2113969324329474,96.58781713963752,8.0,5.0,7.0,0
,9.385518038722363,4.588633171308752,4.407256743855549,70.09159942319786,7.0,7.0,4.0,1
working_student,6.409694429724968,5.684231290336337,4.738047032221048,74.58867652580203,4.0,1.0,8.0,0
school,6.592913438995873,0.44542363365588367,5.199270993229878,74.71496450563298,4.0,6.0,8.0,0
working_student,7.129497706819313,6.037694572276433,1.4055407205846842,69.23426948664073,7.0,6.0,4.0,1
school,7.811630252680971,3.157086261446259,2.08656990675979,68.46684609247833,3.0,9.0,11.0,0
working_student,7.636674508569084,9.000485746287431,0.5581468445348468,73.92124231663503,3.0,10.0,,0
college,4.035900448802186,,1.347799727493205,91.10393687587167,5.0,5.0,5.0,1
working_student,7.1061224574219395,7.833100775977984,6.2852702934546505,91.8481235105358,9.0,5.0,6.0,1
college,7.906121424856828,7.643114024581627,5.9825136489972355,93.57309863262725,9.0,8.0,4.0,1
working_student,5.378674134786366,6.90736056766063,3.5467572304787054,74.91793015410947,6.0,9.0,1.0,0
working_student,7.448904098716104,5.61784492791169,4.002414919851451,73.83040663512995,,8.0,9.0,0
college,5.761272913873389,7.739839047713644,3.921026764347863,81.55697208077666,3.0,5.0,11.0,0
college,2.9228538147805563,6.141436526129202,6.2012495190879795,89.06445666547405,6.0,6.0,5.0,1
school,7.30310754896154,4.606817499875864,,86.66098315494389,5.0,6.0,2.0,0
college,4.199168996917541,,3.161748592314747,70.30946835332995,8.0,8.0,,1
working_student,4.720695410587101,8.713876083745578,3.569384974433372,80.46921503711246,9.0,4.0,11.0,1
college,6.911920072590825,2.7994223009401846,1.0984075631575378,80.18672508431845,2.0,2.0,2.0,0
college,7.43207848603862,3.79197982220273,3.722706437388322,70.92524816693636,4.0,10.0,5.0,0
college,,,,85.71335336468847,8.0,8.0,8.0,1
school,6.966329303431577,3.657393149979392,2.812803430392246,57.61716117426414,7.0,7.0,12.0,1
college,5.833568581494802,8.362000707760009,3.5863673613515705,98.09038601326506,2.0,7.0,8.0,0
working_student,5.504385859768872,2.5652042788935603,1.5703148465720462,97.2510259750774,9.0,5.0,3.0,1
college,2.9172077130588416,4.882824175836429,4.23632829420251,98.71337236941525,10.0,9.0,6.0,1
college,6.284311154190692,4.274967741863561,2.6097387029729218,82.85449508335513,2.0,5.0,11.0,0
school,8.508525896288027,2.144786504650305,3.281086761673228,59.63816846433735,3.0,6.0,9.0,0
,8.347052837675657,5.3613033303928255,2.712900968505239,85.24217941852547,,10.0,5.0,0
school,8.93290767780982,3.8223000024217284,8.455055705025384,78.21235569015874,9.0,5.0,,1
college,5.903288562421036,7.059041933428164,4.487110167650916,72.75057944796757,4.0,3.0,1.0,0
college,6.542642961435002,2.8485143624896225,4.713113547915844,75.54687133352711,2.0,2.0,,0
college,4.17961790747236,4.573411760286826,2.4063199145357226,85.74318936192455,6.0,5.0,12.0,0
school,8.030249301585402,,0.20448788992235278,67.2719412968683,4.0,4.0,11.0,0
working_student,5.870651657904474,6.577756340772928,3.146083666858081,76.25693204085763,8.0,8.0,9.0,1
working_student,4.1592173126678595,9.47999002621506,1.7092956123475236,77.28505609074834,3.0,3.0,2.0,0
school,7.2519999274989955,,4.468880500909444,82.3001000688364,7.0,,3.0,0
college,6.376273046348491,5.998130199897253,6.603566125906768,94.87045682324907,5.0,9.0,,1
school,8.315763395632501,,3.419511450615629,83.00777892993706,2.0,8.0,3.0,0
college,6.947542908635206,6.2981208474732995,6.381094771522389,63.055384250616726,8.0,5.0,8.0,0
working_student,6.507326722009483,5.003585145493461,0.35516700152781944,85.32901286724041,10.0,10.0,4.0,1
college,6.8871073572958865,6.118652737860501,2.363367624940218,59.67034317868846,5.0,5.0,1.0,0
college,5.323827718927756,4.136391807950707,5.258602224409286,93.62340340849256,6.0,4.0,10.0,0
working_student,,10.028594487385474,0.7928583321582958,58.39341185135403,7.0,6.0,4.0,1
school,7.649600995034111,1.022287422899867,4.219476081127426,79.50726440136839,4.0,3.0,6.0,0
college,7.014021306632296,3.671779904721832,3.7805772624089733,68.90344116521104,,1.0,12.0,0
school,7.34061913470092,3.874407155203723,4.043250664665476,96.8166523565077,9.0,6.0,10.0,0
college,,0.6782357409968536,2.5904920689806197,81.31450302570799,7.0,,5.0,0
working_student,7.848536690902785,7.020339574493215,4.857411513899532,79.3697162143585,5.0,6.0,5.0,0
school,7.675739464282327,3.3660417876049706,0.6052964338409006,83.27733982147659,10.0,7.0,4.0,1
college,5.5682070061096764,,5.909243594020824,97.45688506025337,6.0,9.0,9.0,1
college,6.610538449019306,5.641117169805119,4.197264331324018,82.35356147392328,4.0,5.0,4.0,0
college,7.696266176915895,2.5293435022426407,4.222200916430036,92.7513828116331,10.0,4.0,11.0,1
working_student,4.676244358246887,5.108816719084507,3.408099771761418,63.93064621888645,6.0,6.0,11.0,1
school,6.520293307187127,3.6849406134546943,3.776011826042682,76.58204518452433,7.0,4.0,4.0,0
college,3.539089794404686,4.349688914527797,7.60840366718208,74.81005698944881,,8.0,5.0,1
college,5.691322205313545,5.00125968040727,6.421500167726499,79.63362219730324,6.0,6.0,12.0,0
school,6.479536406684839,0.841735183604065,2.5813397598552443,97.69100129424953,,7.0,5.0,0
college,4.499798288284563,4.850684552462724,4.767132686870238,94.21979421554296,9.0,4.0,9.0,0
college,6.042252512070002,,5.484714983744775,80.46188993981897,,8.0,6.0,1
college,5.507454244697779,7.9952508787713565,3.8371301265185482,97.77236993061888,6.0,6.0,2.0,0
working_student,8.346056798451853,,3.1815395913128315,54.78410653830021,7.0,3.0,1.0,0
working_student,7.9080275008219605,2.957925156733452,,86.92446074701792,3.0,4.0,1.0,1
school,6.244044175484739,2.34092569867668,1.330194030472076,75.66971261293016,3.0,7.0,2.0,0
school,9.007580224084885,2.532766507570011,6.254234867016516,81.46425350401825,9.0,10.0,1.0,1
school,6.8734806966943145,2.89120432839408,,66.72853610069579,2.0,10.0,8.0,0
college,,6.288405384321193,2.87676247507954,98.56404466706556,6.0,3.0,10.0,0
college,5.250663394235575,7.237765448075051,0.5890602695538534,72.85165279407028,3.0,9.0,4.0,0
school,7.377063169614294,2.055699095826312,4.1613575225874735,86.26149280928539,6.0,10.0,5.0,0
working_student,5.705155420386664,6.940980835322119,7.843064083919452,80.63957451535326,2.0,,7.0,0
college,6.9545828137580905,2.9199942196469304,,73.85865415478752,4.0,4.0,8.0,1
