Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk
26,Bachelor's,4,IT,ML Engineer,Medium,Entry,44,43,59,Medium,5,12,43,8,Medium
51,Bachelor's,9,Finance,Accountant,Large,Entry,29,58,27,Low,1,3,22,8,Medium
57,Bachelor's,13,Telecom,Operations Analyst,Large,Mid,65,45,80,Medium,5,6,31,18,Medium
57,Master's,8,Education,Teacher,Medium,Mid,87,2,76,Medium,2,11,63,28,Medium
43,Bachelor's,11,Retail,Store Manager,Small,Entry,54,38,85,Medium,2,11,28,12,Medium
58,Master's,8,Retail,Inventory Analyst,Large,Senior,83,19,49,High,5,26,79,46,High
24,Bachelor's,3,Logistics,Supply Chain Analyst,Small,Mid,62,46,81,Medium,5,6,48,22,Medium
29,Bachelor's,7,Telecom,Network Engineer,Small,Mid,13,89,38,Low,0,2,6,0,Low
27,High School,6,Manufacturing,Quality Engineer,Medium,Entry,80,0,52,High,5,30,55,68,High
58,Bachelor's,9,Retail,Store Manager,Medium,Mid,12,80,85,Low,1,3,10,4,Low
45,Bachelor's,14,Logistics,Dispatcher,Medium,Mid,53,22,89,Low,1,1,29,4,Medium
36,Bachelor's,12,Finance,Accountant,Large,Entry,30,72,32,Low,0,3,18,4,Medium
47,Master's,7,IT,Software Engineer,Medium,Mid,45,47,23,Medium,3,13,23,15,Low
30,Bachelor's,6,Retail,Store Manager,Large,Entry,65,40,84,Medium,2,12,51,17,High
33,Bachelor's,8,Telecom,Support Specialist,Large,Senior,18,87,61,Low,0,1,11,4,Low
44,Bachelor's,7,Logistics,Supply Chain Analyst,Small,Mid,64,48,88,Medium,3,5,47,27,Medium
42,High School,5,Telecom,Network Engineer,Medium,Mid,41,45,76,Low,1,0,24,1,Medium
27,Bachelor's,4,Healthcare,Medical Assistant,Medium,Mid,33,83,79,Low,1,1,28,6,Low
56,High School,15,IT,Data Analyst,Large,Entry,17,68,87,Low,0,0,13,1,Low
47,Bachelor's,2,Manufacturing,Quality Engineer,Medium,Entry,67,41,22,Low,2,1,47,6,High
28,Bachelor's,2,Manufacturing,Quality Engineer,Small,Senior,40,53,81,Low,1,0,34,6,Medium
37,High School,0,Logistics,Supply Chain Analyst,Large,Entry,93,2,84,High,10,20,82,37,High
52,High School,15,Retail,Sales Associate,Large,Mid,23,74,85,Low,0,4,22,1,Low
29,Bachelor's,8,Retail,Store Manager,Large,Senior,15,85,99,Low,0,3,10,9,Low
58,Master's,16,IT,ML Engineer,Medium,Senior,39,53,26,Low,1,0,18,4,Low
47,PhD,3,Education,Teacher,Medium,Mid,34,79,97,Low,1,5,24,3,Low
26,High School,5,IT,ML Engineer,Medium,Entry,77,28,32,Medium,4,8,46,22,High
26,Bachelor's,0,Logistics,Dispatcher,Medium,Entry,11,100,30,Low,2,0,6,6,Medium
55,High School,15,Healthcare,Nurse,Large,Entry,16,80,68,Low,2,0,12,4,Low
49,Bachelor's,11,Finance,Accountant,Small,Senior,71,51,26,Low,2,4,69,5,Medium
22,High School,1,Finance,Auditor,Medium,Mid,30,64,58,Low,0,0,27,4,Medium
41,Bachelor's,8,Finance,Auditor,Medium,Mid,64,31,45,Medium,4,13,59,24,High
41,PhD,2,Retail,Sales Associate,Small,Entry,18,80,77,Low,0,3,14,6,Low
42,High School,15,Finance,Auditor,Medium,Entry,41,74,63,Medium,2,12,35,29,Medium
21,High School,0,Retail,Inventory Analyst,Small,Entry,14,61,50,Low,1,3,12,3,Medium
27,Bachelor's,5,IT,ML Engineer,Medium,Mid,17,94,83,Low,0,0,11,8,Low
23,High School,2,Finance,Financial Analyst,Medium,Mid,50,49,29,Medium,2,8,35,16,High
22,Master's,1,Education,Academic Coordinator,Large,Mid,20,97,29,Low,2,0,13,8,Low
34,Bachelor's,7,Retail,Inventory Analyst,Medium,Senior,39,63,70,Low,1,0,38,7,Low
52,Bachelor's,12,Education,Teacher,Medium,Mid,30,66,72,Low,2,3,25,5,Low
45,Master's,16,Manufacturing,Quality Engineer,Small,Entry,38,55,69,Low,2,2,34,6,Medium
33,Master's,12,Healthcare,Health Analyst,Medium,Entry,32,63,48,Low,0,4,22,7,Low
36,Master's,4,Manufacturing,Quality Engineer,Medium,Senior,13,84,29,Low,0,5,10,6,Low
22,Bachelor's,1,Education,Teacher,Small,Mid,63,30,76,Low,1,4,51,8,Medium
36,High School,12,IT,Data Analyst,Medium,Senior,67,24,39,Low,1,5,35,2,Medium
58,High School,17,Finance,Accountant,Medium,Entry,66,26,64,Medium,5,7,33,28,High
24,High School,3,Retail,Inventory Analyst,Medium,Mid,28,79,68,Low,2,5,13,2,Low
32,Master's,11,Manufacturing,Production Supervisor,Medium,Entry,64,45,74,Medium,2,13,51,26,High
37,Bachelor's,2,Education,Teacher,Medium,Entry,24,87,75,Low,2,0,18,9,Low
30,Bachelor's,9,Retail,Sales Associate,Large,Entry,55,27,45,Medium,3,9,28,8,High
24,High School,3,Manufacturing,Production Supervisor,Large,Senior,33,76,73,Low,1,3,28,8,Low
44,Bachelor's,7,Logistics,Dispatcher,Small,Entry,16,83,54,Low,1,5,14,9,Low
26,High School,5,Manufacturing,Operator,Medium,Entry,93,17,40,High,8,16,81,52,High
26,Bachelor's,5,IT,ML Engineer,Large,Entry,23,77,76,Low,0,2,12,6,Low
44,Bachelor's,8,Manufacturing,Operator,Medium,Senior,21,70,69,Low,0,3,10,9,Low
42,High School,14,Finance,Accountant,Large,Mid,50,76,58,Medium,3,10,35,6,Medium
41,High School,18,Manufacturing,Production Supervisor,Medium,Entry,83,0,58,Medium,3,12,60,19,High
30,Master's,0,Finance,Auditor,Medium,Mid,24,75,33,Low,1,3,18,9,Low
22,High School,1,Healthcare,Medical Assistant,Medium,Senior,51,39,71,Low,2,0,25,1,Low
25,Master's,0,Manufacturing,Operator,Medium,Mid,64,38,28,Medium,5,6,44,14,High
26,Master's,5,Retail,Inventory Analyst,Medium,Senior,12,100,27,Low,0,3,8,4,Low
26,Bachelor's,5,Education,Teacher,Large,Mid,30,64,94,Low,1,1,15,6,Low
25,Bachelor's,4,Manufacturing,Operator,Medium,Mid,43,51,80,Low,0,0,41,3,Medium
26,Bachelor's,3,Logistics,Warehouse Manager,Large,Mid,94,17,22,High,9,26,46,75,High
53,Bachelor's,14,IT,Software Engineer,Small,Entry,56,48,42,Low,1,0,50,4,High
50,High School,9,Telecom,Support Specialist,Medium,Entry,49,52,47,Low,0,2,45,3,High
58,Bachelor's,11,IT,Software Engineer,Small,Mid,62,43,36,Medium,4,13,29,7,Medium
35,Bachelor's,11,Education,Teacher,Medium,Entry,55,42,78,Medium,4,7,39,18,Medium
45,Bachelor's,14,Manufacturing,Production Supervisor,Small,Senior,31,64,70,Low,2,1,27,2,Low
40,Bachelor's,9,Logistics,Dispatcher,Medium,Mid,28,73,66,Low,0,4,14,3,Low
50,High School,7,Telecom,Operations Analyst,Medium,Entry,23,60,78,Low,1,5,10,8,Medium
24,PhD,3,IT,Software Engineer,Medium,Mid,71,16,67,Medium,5,6,52,25,Medium
25,Bachelor's,4,Finance,Auditor,Small,Mid,82,20,84,Medium,5,11,40,19,High
32,Bachelor's,3,Healthcare,Health Analyst,Small,Entry,30,68,70,Low,2,3,21,6,Low
48,Bachelor's,7,IT,Data Analyst,Large,Senior,75,22,20,Low,2,5,70,5,High
38,High School,6,Healthcare,Medical Assistant,Small,Entry,74,3,76,Medium,5,7,44,20,High
33,Bachelor's,0,Healthcare,Nurse,Large,Entry,17,93,73,Low,0,0,15,8,Low
41,Master's,9,Manufacturing,Quality Engineer,Medium,Mid,28,50,30,Low,0,3,18,2,Medium
28,Bachelor's,5,IT,Data Analyst,Small,Mid,42,53,66,Low,2,0,34,3,Medium
22,Bachelor's,1,Retail,Inventory Analyst,Small,Mid,49,56,34,Low,0,0,31,9,High
31,Bachelor's,10,Retail,Inventory Analyst,Medium,Entry,82,27,89,Medium,4,9,60,6,High
23,High School,2,Finance,Financial Analyst,Medium,Entry,74,27,74,Medium,2,5,62,29,High
58,Master's,9,Telecom,Operations Analyst,Medium,Entry,54,36,49,Low,1,2,49,2,High
35,Master's,7,Healthcare,Nurse,Small,Entry,42,60,88,Low,0,3,39,4,Low
21,Master's,0,Healthcare,Nurse,Medium,Mid,27,58,95,Low,2,5,13,0,Low
25,Bachelor's,4,Telecom,Network Engineer,Medium,Entry,59,42,88,Low,1,2,56,5,High
47,High School,9,Healthcare,Health Analyst,Small,Mid,24,65,56,Low,1,3,17,4,Low
26,PhD,5,Education,Academic Coordinator,Small,Senior,26,77,41,Low,0,4,14,1,Low
43,Bachelor's,9,Retail,Sales Associate,Medium,Entry,60,40,40,Low,2,3,32,2,High
44,Master's,6,Healthcare,Health Analyst,Medium,Entry,33,72,38,Low,0,0,24,4,Low
39,High School,2,Finance,Financial Analyst,Medium,Mid,63,47,40,Medium,3,11,55,9,High
40,PhD,6,IT,Data Analyst,Large,Mid,61,38,89,Low,1,2,46,0,Medium
43,Bachelor's,15,Retail,Store Manager,Medium,Mid,90,21,68,Medium,4,7,89,20,High
28,Master's,7,Logistics,Warehouse Manager,Large,Entry,47,64,86,Medium,3,11,40,20,Medium
42,Master's,0,Manufacturing,Production Supervisor,Medium,Mid,51,63,85,Medium,2,12,28,7,Medium
50,Bachelor's,13,Retail,Store Manager,Small,Mid,34,71,65,Low,2,1,22,7,Low
54,High School,9,Retail,Sales Associate,Medium,Entry,84,8,79,Medium,2,6,81,17,High
58,Bachelor's,6,Education,Academic Coordinator,Large,Mid,69,28,85,Medium,4,6,46,11,Medium
43,Master's,5,Finance,Financial Analyst,Medium,Senior,62,39,49,Medium,2,9,40,23,Low
45,Bachelor's,0,Education,Research Assistant,Medium,Entry,41,60,33,Low,0,5,21,3,Medium
43,Master's,7,Telecom,Operations Analyst,Medium,Entry,43,60,94,Low,0,3,26,0,Low
51,Master's,11,Education,Teacher,Medium,Senior,59,34,72,Low,2,0,30,0,Low
29,Master's,8,Finance,Financial Analyst,Medium,Mid,24,74,89,Low,2,4,19,0,Low
46,Master's,12,Healthcare,Health Analyst,Medium,Entry,94,7,40,Medium,5,5,78,8,High
50,Bachelor's,9,Manufacturing,Production Supervisor,Medium,Mid,46,52,67,Low,2,3,32,8,Medium
38,High School,15,Finance,Auditor,Large,Entry,22,84,50,Low,1,2,20,5,Medium
53,Master's,16,Telecom,Support Specialist,Large,Entry,18,85,37,Low,2,3,14,5,Low
41,Bachelor's,7,Education,Academic Coordinator,Small,Entry,22,97,76,Low,0,3,18,4,Low
33,Bachelor's,11,Finance,Financial Analyst,Medium,Entry,23,74,36,Low,1,3,19,7,Medium
45,Bachelor's,9,Retail,Sales Associate,Medium,Mid,56,49,77,Medium,3,13,30,6,Medium
27,High School,6,IT,ML Engineer,Small,Mid,67,39,31,Low,2,4,50,3,High
56,Master's,9,Telecom,Network Engineer,Medium,Entry,13,89,86,Low,1,3,10,6,Low
24,PhD,3,Retail,Sales Associate,Large,Mid,93,12,47,High,10,23,53,36,High
27,Master's,6,Telecom,Network Engineer,Medium,Entry,62,28,91,Low,2,2,39,0,Medium
58,Bachelor's,16,Education,Research Assistant,Medium,Senior,55,34,69,Low,1,2,32,1,Low
41,Master's,9,Education,Research Assistant,Large,Mid,55,49,32,Medium,3,12,51,16,Medium
53,High School,1,Finance,Auditor,Large,Mid,37,55,87,Low,2,3,31,7,Medium
46,Bachelor's,1,Manufacturing,Operator,Large,Entry,91,10,45,Medium,2,9,89,20,High
28,High School,7,Manufacturing,Operator,Medium,Mid,74,40,63,Medium,2,9,65,14,High
48,Bachelor's,2,Telecom,Support Specialist,Large,Mid,31,75,46,Low,0,4,29,9,Medium
47,PhD,6,Telecom,Operations Analyst,Medium,Mid,80,6,54,Medium,4,5,61,11,High
34,Bachelor's,13,Manufacturing,Operator,Large,Senior,35,45,39,Low,2,0,20,8,Low
21,High School,0,Healthcare,Nurse,Large,Entry,77,7,85,High,7,26,70,45,High
27,Master's,6,Telecom,Operations Analyst,Medium,Mid,17,92,60,Low,1,3,11,8,Low
35,Master's,0,Telecom,Operations Analyst,Medium,Entry,36,59,43,Low,1,3,26,2,Medium
43,Bachelor's,8,Healthcare,Health Analyst,Medium,Mid,69,37,73,Medium,5,11,42,11,Medium
40,Bachelor's,4,Manufacturing,Quality Engineer,Small,Mid,85,21,60,Medium,2,11,80,22,High
57,Bachelor's,13,IT,Data Analyst,Medium,Senior,48,57,35,Low,0,0,35,6,Low
30,High School,9,Manufacturing,Production Supervisor,Small,Mid,90,16,71,Medium,4,13,68,25,High
21,PhD,0,Telecom,Operations Analyst,Medium,Entry,24,81,58,Low,2,1,22,6,Low
37,High School,8,Education,Academic Coordinator,Small,Entry,79,25,66,Medium,2,11,49,5,High
46,Master's,11,Logistics,Warehouse Manager,Medium,Entry,44,50,77,Medium,4,8,36,28,Medium
39,Master's,10,Retail,Inventory Analyst,Medium,Mid,74,24,32,Low,1,2,49,2,High
30,Bachelor's,9,Logistics,Dispatcher,Medium,Mid,66,44,91,Medium,4,6,65,20,High
38,Bachelor's,2,Healthcare,Health Analyst,Small,Entry,21,68,46,Low,0,5,14,0,Low
48,Master's,5,Finance,Financial Analyst,Small,Entry,28,70,88,Low,1,5,19,6,Low
49,High School,8,Education,Teacher,Small,Entry,83,21,66,Medium,3,14,82,9,High
25,Bachelor's,4,Retail,Inventory Analyst,Medium,Entry,12,75,29,Low,1,3,9,7,Medium
42,High School,9,Manufacturing,Production Supervisor,Medium,Entry,29,65,38,Low,2,1,13,4,Medium
23,Bachelor's,2,Retail,Store Manager,Medium,Mid,68,11,66,Medium,3,8,44,6,High
48,Bachelor's,10,IT,Software Engineer,Medium,Senior,18,87,55,Low,0,4,15,9,Low
26,High School,5,Retail,Sales Associate,Medium,Senior,37,61,34,Low,2,1,28,2,Medium
37,Bachelor's,15,Finance,Financial Analyst,Medium,Mid,49,61,71,Medium,4,5,22,29,Low
54,Master's,8,Telecom,Operations Analyst,Medium,Mid,91,1,67,High,7,18,55,78,High
23,Bachelor's,2,Retail,Inventory Analyst,Medium,Mid,17,81,92,Low,0,5,10,8,Low
48,Bachelor's,13,Telecom,Support Specialist,Large,Mid,46,51,37,Low,2,1,25,8,Medium
42,Bachelor's,13,Telecom,Network Engineer,Small,Mid,77,16,22,Medium,3,10,51,22,High
58,High School,7,Healthcare,Health Analyst,Small,Mid,80,17,86,Medium,4,8,36,9,Medium
32,Bachelor's,11,IT,Software Engineer,Medium,Mid,30,67,44,Low,0,5,29,6,Low
56,Bachelor's,2,Telecom,Network Engineer,Small,Entry,70,44,28,Medium,2,14,63,27,High
43,Bachelor's,0,Healthcare,Health Analyst,Medium,Entry,82,22,32,Medium,5,8,58,19,High
37,Bachelor's,12,Logistics,Supply Chain Analyst,Large,Entry,42,62,49,Low,1,3,24,2,Medium
29,Bachelor's,8,Retail,Store Manager,Medium,Entry,56,30,79,Low,1,3,44,7,High
29,Bachelor's,1,Logistics,Supply Chain Analyst,Medium,Mid,74,7,48,Low,1,0,34,1,High
33,Master's,9,Logistics,Dispatcher,Medium,Senior,48,56,90,Low,0,4,45,9,Low
27,Master's,6,Education,Academic Coordinator,Medium,Entry,38,75,51,Low,1,3,28,8,Low
21,Bachelor's,0,Telecom,Operations Analyst,Large,Entry,60,42,48,Low,2,2,40,1,High
35,Bachelor's,4,Logistics,Supply Chain Analyst,Large,Senior,57,42,85,Medium,5,8,56,29,Medium
38,Bachelor's,0,Logistics,Warehouse Manager,Large,Entry,73,19,83,Medium,5,11,51,8,High
31,High School,10,Manufacturing,Production Supervisor,Small,Mid,58,51,28,Medium,2,8,39,12,High
57,Bachelor's,16,Manufacturing,Operator,Medium,Mid,90,1,28,High,8,20,48,48,High
36,Bachelor's,11,Logistics,Dispatcher,Large,Mid,71,43,61,Medium,4,10,39,20,Medium
60,Bachelor's,0,Retail,Sales Associate,Large,Senior,19,67,21,Low,1,3,17,2,Low
38,Bachelor's,8,Logistics,Supply Chain Analyst,Medium,Mid,76,29,80,Medium,5,9,43,18,High
56,Master's,4,Manufacturing,Production Supervisor,Small,Mid,88,19,89,High,8,24,75,56,High
53,Bachelor's,6,Manufacturing,Quality Engineer,Small,Senior,44,55,24,Medium,5,10,41,29,Medium
60,Master's,10,Education,Research Assistant,Medium,Mid,27,68,73,Low,0,5,25,3,Low
51,High School,12,Finance,Accountant,Medium,Mid,25,85,32,Low,2,5,14,4,Low
